DateTime,Entries,UniqueIPs
1576938019,6,6
1576939933,6,6
1576947932,5,5
1576953613,6,6
1576955565,7,7
1576959617,9,9
1576969472,10,10
1576971382,12,12
1576975464,11,11
1576985062,12,12
1576991798,13,13
1577003297,12,12
1577021062,11,11
1577027321,10,10
1577033062,11,11
1577040759,9,9
1577046503,7,7
1577052739,8,8
1577056600,7,7
1577058490,5,5
1577062345,4,4
1577071998,3,3
1577075780,4,4
1577077721,4,4
1577079733,5,5
1577083952,6,6
1577104827,7,7
1577114447,8,8
1577126425,9,9
1577138171,8,8
1577146817,7,7
1577148756,8,8
1577155237,9,9
1577157166,10,10
1577163134,9,9
1577165084,7,7
1577169372,6,6
1577178974,8,8
1577186706,9,9
1577188574,10,10
1577190738,9,9
1577202512,8,8
1577215235,8,8
1577236822,7,7
1577240682,8,8
1577242579,7,7
1577244494,6,6
1577246620,7,7
1577264187,6,6
1577266092,5,5
1577274294,3,3
1577278333,4,4
1577286149,5,5
1577293957,6,6
1577301877,5,5
1577305690,6,6
1577326583,5,5
1577332343,4,4
1577338101,5,5
1577340302,6,6
1577342199,7,7
1577360433,8,8
1577364265,7,7
1577371958,6,6
1577373870,7,7
1577380112,6,6
1577383940,7,7
1577391613,6,6
1577403155,7,7
1577414668,8,8
1577424495,7,7
1577426621,6,6
1577428816,5,5
1577440592,9,9
1577446361,8,8
1577460287,8,8
1577467466,9,9
1577471557,9,9
1577490731,8,8
1577498483,9,9
1577500348,8,8
1577509949,9,9
1577527282,5,5
1577535197,6,6
1577546657,6,6
1577552493,6,6
1577558432,5,5
1577560345,6,6
1577568258,7,7
1577580498,8,8
1577586259,7,7
1577588200,8,8
1577594193,9,9
1577596113,8,8
1577598021,9,9
1577609777,10,10
1577619904,9,9
1577631866,10,10
1577633791,9,9
1577637620,8,8
1577645535,7,7
1577653821,6,6
1577657787,8,8
1577667884,7,7
1577675793,6,6
1577679632,5,5
1577683455,4,4
1577695707,3,3
1577719451,2,2
1577731058,3,3
1577744783,1,1
1577774193,2,2
1577776184,3,3
1577785725,4,4
1577817392,3,3
1577843769,4,4
1577860619,3,3
1577862497,2,2
1577872105,1,1
1577916317,2,2
1577929947,1,1
1577933777,2,2
1577956820,3,3
1577960651,4,4
1577972440,5,5
1577982257,6,6
1578000998,5,5
1578012495,6,6
1578020197,5,5
1578031961,6,6
1578033856,7,7
1578043694,7,7
1578047794,6,6
1578057454,5,5
1578065053,6,6
1578068926,5,5
1578078756,6,6
1578082822,7,7
1578100591,6,6
1578106591,7,7
1578120517,6,6
1578130348,5,5
1578138526,6,6
1578146631,7,7
1578152658,8,8
1578160339,9,9
1578164177,8,8
1578168514,7,7
1578192978,5,5
1578198998,6,6
1578212681,7,7
1578224417,6,6
1578232113,5,5
1578237892,4,4
1578239783,3,3
1578247974,2,2
1578266202,3,3
1578270082,4,4
1578285856,3,3
1578287836,4,4
1578299546,3,3
1578307246,4,4
1578309389,6,6
1578339900,7,7
1578354271,6,6
1578356504,5,5
1578362187,6,6
1578374196,5,5
1578392685,4,4
1578394577,3,3
1578396769,2,2
1578408522,4,4
1578410423,5,5
1578412346,6,6
1578416190,7,7
1578418116,8,8
1578420173,9,9
1578426250,8,8
1578441131,9,9
1578448923,8,8
1578495377,6,6
1578497299,5,5
1578499448,5,5
1578501638,4,4
1578503594,3,3
1578505470,2,2
1578517014,3,3
1578525162,4,4
1578527055,3,3
1578542722,4,4
1578565704,5,5
1578585853,5,5
1578589708,6,6
1578603378,5,5
1578611570,4,4
1578630038,3,3
1578644981,4,4
1578651213,5,5
1578653334,4,4
1578657286,5,5
1578667947,6,6
1578672420,5,5
1578704651,6,6
1578730347,5,5
1578738278,4,4
1578740192,5,5
1578742392,4,4
1578754355,3,3
1578792094,2,2
1578809799,3,3
1578827329,2,2
